Player,TEAM,POS,AGE,GP,MPG,Minutes Percentage,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,Effective Shooting Percentage,True Shooting Percentage,Points per game,Rebounds per game,Total Rebound Percentage,Assists per game,Assist Percentage,Steals per game,Blocks per game,Turnovers per game.,Versatility index,Offensive Rating,Defensive Rating
Marques Bolden,Cle,C,22.86,6,4.8,9.9,12.8,23.5,8,0.625,3,0.333,0,0,0.333,0.537,1.2,1.2,13.7,0,0,0.33,0.33,0.33,0,99.1,116.1
Jordan Bone,Orl,G,23.3,14,14,29.2,12.4,5.3,0,0,22,0.591,32,0.313,0.519,0.519,4,1.7,6.3,1.3,13.2,0.14,0,0.21,5.9,113.3,110.9
Isaac Bonga,Was,G,21.29,18,13.1,27.2,8.3,16.9,3,0.667,15,0.4,23,0.391,0.513,0.521,2.3,2.2,8.9,0.5,4.8,0.22,0.22,0.44,4.2,99.6,105.6
Devin Booker,Pho,G,24.32,26,34.5,71.8,30.9,14.4,138,0.848,320,0.556,147,0.381,0.561,0.607,24.7,3.8,6.1,4.3,20.6,0.77,0.27,3.42,8.6,109.4,105.1
Chris Boucher,Tor,F-C,28.12,31,23.3,48.6,20.1,6.2,94,0.755,163,0.583,113,0.451,0.621,0.652,13.4,6.6,15.6,1.1,7.3,0.52,2,0.68,7.9,130.7,101.3
Brian Bowen II,Ind,F-G,22.4,1,5.1,10.6,20.8,0,1,1,2,0.5,0,0,0.5,0.615,3,1,10.8,0,0,0,0,0,0,127.5,115.9
Avery Bradley,Mia,G,30.25,10,21.1,43.9,16.6,11.4,9,0.778,28,0.536,38,0.421,0.591,0.607,8.5,1.8,4.8,1.4,10.2,0.7,0.1,0.9,5.3,109.5,101.4
Tony Bradley,Phi,C-F,23.13,10,11.7,24.4,14.1,2.6,5,0.6,35,0.543,1,0,0.528,0.537,4.1,5,23.3,0.6,7.4,0.3,0.6,0.1,7.9,130.3,101
Jarrell Brantley,Uta,F,24.71,8,2.8,5.8,17.2,11.1,0,0,2,0,6,0.5,0.563,0.563,1.1,0.5,9.5,0,0,0.13,0.13,0.13,0,,
Ignas Brazdeikis,Nyk,F,22.13,4,1.8,3.7,17.9,34.7,2,1,1,0,0,0,0,0.532,0.5,0.5,14.7,0.3,17.6,0,0,0.25,9.4,,
Miles Bridges,Cha,F,22.93,30,26.6,55.4,16.2,17.5,35,0.943,129,0.55,105,0.371,0.553,0.585,9.7,5.7,11.6,1.9,10.1,0.63,0.77,1.77,7.1,106.7,106.5
Mikal Bridges,Pho,F,24.48,30,32.5,67.8,15.7,6.1,69,0.841,149,0.611,142,0.415,0.617,0.649,13.9,5.1,8.7,2.2,9.5,0.63,0.97,0.7,6.6,130.7,109.2
Malcolm Brogdon,Ind,G,28.2,29,36,75.1,26.2,9.5,85,0.906,338,0.47,195,0.395,0.515,0.549,21.6,4.8,7.3,6.6,28.1,1.28,0.28,2.07,9.8,112.6,110.5
Dillon Brooks,Mem,G-F,25.09,24,29.2,60.8,27.1,12.3,50,0.8,226,0.447,144,0.319,0.459,0.485,15.8,3.2,6,2.6,13.4,1.33,0.38,2.29,7,94.2,104.9
Troy Brown Jr.,Was,G-F,21.58,13,15.8,32.9,15.8,14.1,12,0.583,26,0.423,36,0.306,0.444,0.461,4.8,3.5,11.5,1,8.5,0.15,0.15,0.85,6.5,91.4,106.1
Bruce Brown,Bro,G-F,24.52,28,19.7,41.1,14.5,12.5,36,0.667,122,0.623,23,0.174,0.566,0.584,6.7,4.5,12.8,1.1,7.2,0.79,0.36,0.82,6.5,117,106.3
Jaylen Brown,Bos,G-F,24.33,28,33.7,70.2,30.9,11.7,137,0.766,371,0.539,171,0.409,0.563,0.594,25.5,5.5,9.1,3.9,20.4,1.14,0.54,2.86,9.7,113.7,106.2
Moses Brown,Okc,C,21.37,7,4.5,9.3,23.9,5.8,14,0.5,10,0.7,0,0,0.7,0.65,3,2.1,25,0.4,16.4,0.14,0.57,0.14,12.1,135,94.5
Sterling Brown,Hou,G-F,26.04,27,21.6,45,14.1,9.9,11,0.909,67,0.507,102,0.431,0.592,0.604,7.8,3.9,9.5,1.8,12,0.93,0.26,0.7,7,118.5,103.3
Jalen Brunson,Dal,G,24.48,25,24.2,50.5,19.4,11.6,58,0.879,138,0.594,73,0.384,0.588,0.632,12,3.4,7.6,3.6,22.5,0.4,0,1.24,8.7,123.4,112.4
Thomas Bryant,Was,C-F,23.57,10,27.1,56.4,17.2,9.8,24,0.667,70,0.714,21,0.429,0.698,0.704,14.3,6.1,11.8,1.5,8.7,0.4,0.8,1.1,7.5,130.9,106.1
Reggie Bullock,Nyk,G-F,29.94,26,26.9,56.1,14.2,8.4,19,0.842,77,0.468,121,0.372,0.523,0.54,8.6,3.4,6.6,1.3,7.1,0.69,0.23,0.73,5,106.9,103.1
Trey Burke,Dal,G,28.28,28,17,35.4,19.1,7.7,27,0.852,87,0.494,92,0.391,0.542,0.568,7.8,1.1,3.4,1.5,13.4,0.75,0.07,0.57,5.5,112.9,110.2
Alec Burks,Nyk,G,29.6,19,25.2,52.5,19.4,9.5,49,0.837,78,0.385,90,0.411,0.509,0.559,11.2,4.7,9.7,2,12,0.79,0.26,1.05,7.5,112.1,103.5
Jimmy Butler,Mia,F,31.44,19,32.9,68.6,26.6,11.5,155,0.858,238,0.458,25,0.16,0.437,0.548,19.1,7.6,13,7.6,37.7,1.84,0.37,2.26,12.6,118.6,107.1
Bruno Caboclo,Hou,F,25.43,6,6.1,12.6,25.6,18.3,2,0.5,12,0.667,5,0,0.471,0.475,2.8,2.3,20.3,0.2,4.6,0,0.33,0.67,7.1,83.4,93.5
Devontae Cacok,Lal,F,24.38,2,2.6,5.3,8.5,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0.5,0,0,0,,
Kentavious Caldwell-Pope,Lal,G,28.01,28,26.1,54.3,14.3,12.5,32,0.875,86,0.488,110,0.427,0.574,0.602,9,2.3,4.8,1.4,7.2,0.71,0.32,1.07,4.7,111.4,104.5
Facundo Campazzo,Den,G,29.92,27,15,31.2,15.7,15.1,35,0.8,34,0.441,74,0.405,0.556,0.6,5.5,0.8,3,2,17,0.93,0.15,0.81,5.5,117.2,103.8
Vlatko Cancar,Den,F,23.87,15,3.2,6.6,18.2,25.2,2,0.5,6,0.333,8,0.125,0.25,0.269,0.5,0.8,14.4,0.1,2.6,0.27,0.13,0.33,4.3,,
Clint Capela,Atl,C,26.77,27,29.4,61.3,20,10.4,87,0.563,296,0.598,0,0,0.598,0.603,14.9,13.9,25.6,1,5.5,0.78,2.19,1.44,8,120.6,103.4
Vernon Carey Jr.,Cha,F-C,20,3,2.1,4.4,26.3,0,2,0.5,2,0.5,1,0,0.333,0.387,1,1,25.6,0.3,23.1,0,0.33,0,12.8,,
Wendell Carter Jr.,Chi,C-F,21.86,19,26.9,56.1,20.2,15.3,76,0.724,155,0.574,17,0.294,0.561,0.604,13.1,7.7,15.8,2.2,11.7,0.68,0.84,1.95,9,114.4,102.2
Jevon Carter,Pho,G,25.44,26,10.5,21.9,13.6,6,2,1,24,0.458,53,0.302,0.455,0.462,2.8,1.4,7.5,1.3,15.7,0.42,0.27,0.19,6.6,106.1,100.9
Michael Carter-Williams,Orl,G,29.37,12,25.5,53.2,18.5,17.3,27,0.741,75,0.373,23,0.174,0.347,0.4,7.3,5,10.1,3.3,18.5,0.58,0.58,1.92,7.7,89.2,103.6
Alex Caruso,Lal,G,26.99,25,19.6,40.8,13.3,19.3,14,0.857,58,0.466,57,0.404,0.535,0.557,5.4,2.5,7.1,2.4,16.1,1.12,0.2,1.16,6.5,106.8,99.2
Willie Cauley-Stein,Dal,C,27.52,27,17.6,36.6,12.7,10.9,46,0.652,97,0.639,5,0.2,0.623,0.642,5.8,4.7,14.5,0.7,5.9,0.41,0.74,0.56,6.1,128,101
Chris Chiozza,Bro,G,25.26,12,9.3,19.3,21.4,14.6,11,0.818,24,0.292,18,0.278,0.345,0.406,3.2,0.9,5.6,2.3,31.8,0.33,0.17,0.67,8.1,98.9,111.7
Marquese Chriss,Gol,F,23.65,2,13.4,27.8,28.2,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,25.5,1,11.2,0,1,1,10.4,87.4,96.4
