Player,TEAM,POS,AGE,GP,MPG,Minutes Percentage,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,Effective Shooting Percentage,True Shooting Percentage,Points per game,Rebounds per game,Total Rebound Percentage,Assists per game,Assist Percentage,Steals per game,Blocks per game,Turnovers per game.,Versatility index,Offensive Rating,Defensive Rating
Wenyen Gabriel,Nor,F,23.92,4,3.1,6.5,10.3,0,0,0,2,0,1,0,0,0,0,1.3,22.4,0.3,9.2,0,0,0,0,,
Daniel Gafford,Chi,F-C,22.4,25,13.5,28.1,13.7,17.5,37,0.676,73,0.671,0,0,0.671,0.689,4.9,3.1,12.6,0.6,6.4,0.48,1.24,0.76,6.2,126.2,100.7
Danilo Gallinari,Atl,F,32.54,18,20,41.6,22.4,11.1,61,0.934,62,0.387,79,0.367,0.479,0.572,10.7,3.1,8.3,1.3,9.9,0.33,0.11,1.17,7,111.2,106.7
Langston Galloway,Pho,G,29.21,25,10.5,21.8,16.5,7.3,16,1,36,0.472,46,0.457,0.591,0.635,4.5,1,5.5,0.6,8.5,0.16,0,0.28,5.3,123.2,110.4
Darius Garland,Cle,G,21.08,23,32.7,68.2,22.9,14.2,37,0.892,230,0.474,98,0.398,0.511,0.534,16,2.2,3.8,5.4,27.1,1.13,0.13,2.48,7,105.1,112.7
Marc Gasol,Lal,C,36.07,32,20.3,42.4,10.6,18.3,31,0.806,44,0.455,72,0.361,0.509,0.552,4.5,4.2,11.5,2,12.2,0.5,1.31,0.91,6.6,110.5,96
Rudy Gay,San,F-G,34.52,26,22,45.8,23,9.8,43,0.767,146,0.459,112,0.366,0.498,0.524,11.2,5.2,12.1,1.5,10.1,0.73,0.5,1.15,8.1,101.8,103.5
Paul George,Lac,F,30.81,22,33.6,70,29,16.5,94,0.894,194,0.546,170,0.471,0.621,0.661,24.4,6.2,10.3,5.5,26.5,1.18,0.55,3.64,11.2,119,106.6
Taj Gibson,Nyk,F,35.67,9,14.3,29.7,9.1,7.5,8,0.375,16,0.625,5,0.2,0.548,0.53,2.9,3.6,13,0.6,5.4,0.44,0.44,0.22,5.2,120.4,95.5
Harry Giles III,Por,F-C,22.84,22,11.8,24.6,14.1,18.6,18,0.722,54,0.426,8,0.375,0.444,0.486,3.1,4.9,22,0.9,10.3,0.23,0.41,0.73,8.1,104,97.3
Shai Gilgeous-Alexander,Okc,G-F,22.62,25,33.9,70.7,27.3,13.7,166,0.783,268,0.549,118,0.407,0.567,0.619,22.7,5.2,8,6.5,32.9,0.84,0.6,2.92,10.8,117.4,107.8
Anthony Gill,Was,F,28.35,10,6.5,13.6,9.4,20.3,4,0.75,3,0.667,7,0.143,0.35,0.425,1,1.9,15.2,0.3,5.7,0.3,0.2,0.3,5.1,88.5,109.2
Rudy Gobert,Uta,C,28.66,31,30.3,63.1,17.7,14.2,171,0.591,257,0.642,1,0,0.64,0.647,13.9,13.5,23.8,1.3,6.1,0.39,2.81,1.77,8.2,124.2,98.8
Brandon Goodwin,Atl,G,25.4,23,12.4,25.8,18.8,9.6,24,0.708,51,0.373,52,0.269,0.388,0.427,4.2,1.2,5.1,1.9,21.4,0.43,0,0.52,6.9,97.5,108.9
Aaron Gordon,Orl,F,25.44,19,29.1,60.5,23.3,17.6,80,0.613,129,0.465,84,0.369,0.5,0.528,13.8,7.2,12.8,4.2,22.1,0.74,0.84,2.79,10.3,101.3,106.3
Eric Gordon,Hou,G,32.16,23,29.3,61.1,25.2,11,95,0.842,133,0.609,181,0.337,0.549,0.597,18.5,2.3,4.1,2.8,15.7,0.52,0.48,1.91,6.7,111.9,111.4
Devonte' Graham,Cha,G,26,25,32.8,68.4,19.5,9.3,71,0.775,108,0.361,201,0.343,0.461,0.5,13.6,3,4.9,5.7,24.3,1,0,1.4,7.5,110.2,113.4
Jerami Grant,Det,F,26.95,30,36.4,75.8,26.4,7.8,182,0.885,333,0.474,202,0.376,0.508,0.573,23.5,5.1,7.8,3,14.4,0.73,1.17,1.73,7.8,114.5,109.1
Danny Green,Phi,G,33.67,31,28.5,59.4,13.7,14.6,17,0.647,56,0.464,182,0.385,0.55,0.556,8.8,3.5,6.8,1.8,8.5,1.13,0.74,1.35,5.4,105.4,107.5
Draymond Green,Gol,F,30.98,26,29.3,60.9,12.5,29.9,34,0.676,93,0.43,49,0.224,0.398,0.433,5.2,5.7,10.2,8.1,35,1.19,0.65,2.58,8.5,101.1,100.9
JaMychal Green,Den,F-C,30.68,25,20.5,42.7,18.8,11.8,32,0.844,84,0.464,96,0.427,0.558,0.587,9.1,6,16.7,1,6.5,0.6,0.28,1.04,7.4,114.8,100.2
Javonte Green,Bos,G-F,27.59,19,14.7,30.7,13.3,13.8,29,0.69,41,0.585,21,0.333,0.556,0.595,4.7,2.4,9.1,0.4,3.9,0.84,0.11,0.63,4.5,114.8,105.6
Jeff Green,Bro,F,34.49,32,26.5,55.2,13.4,9.9,45,0.822,100,0.59,116,0.422,0.613,0.64,9.4,3.6,7.6,1.4,6.7,0.72,0.25,0.81,5.5,121,111
Josh Green,Dal,G,20.27,17,12.5,26,10.7,21.2,11,0.545,24,0.625,12,0.167,0.5,0.514,2.5,2.2,9.8,0.6,6.8,0.24,0.06,0.65,4.8,99.7,110.8
Blake Griffin,Det,F,31.94,20,31.3,65.2,19.4,11.4,62,0.71,98,0.429,124,0.315,0.453,0.491,12.3,5.2,9.2,3.9,18.8,0.7,0.15,1.6,8,101.2,109
Kyle Guy,Sac,G,23.54,12,8.1,16.8,19.5,2.2,8,0.875,19,0.421,21,0.238,0.388,0.437,3.2,1.1,7.3,1.1,18,0.33,0,0.08,7.8,106.6,114.3
Rui Hachimura,Was,F,23.04,21,30,62.5,18,7.7,85,0.788,162,0.519,54,0.296,0.5,0.558,13.5,5.5,9.6,1.8,8.6,0.76,0.1,1,6.8,113.4,109.8
Ashton Hagans,Min,G-F,21.63,2,2.1,4.3,10.3,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.5,0,,
Tyrese Haliburton,Sac,G,20.98,28,29.7,61.8,16.8,13.1,19,0.842,130,0.562,147,0.442,0.616,0.626,12.8,3.5,6.4,5.3,24.9,1.25,0.61,1.54,8.3,124.4,117.9
Josh Hall,Okc,F,20.38,7,7.3,15.2,21.3,15.9,7,0.429,10,0.3,8,0.125,0.25,0.285,1.7,1.3,9.2,1,18.7,0,0,0.57,7.1,65.6,101
R.J. Hampton,Den,G,20.04,23,9.2,19.1,14,16.3,8,0.625,35,0.486,18,0.278,0.462,0.478,2.3,1.9,11.9,0.5,7.3,0.22,0.09,0.48,5.6,94.7,105.8
Tim Hardaway Jr.,Dal,G-F,28.94,28,30.5,63.5,22.2,6,70,0.786,152,0.507,222,0.405,0.567,0.592,17.1,3.2,5.8,1.5,7.6,0.64,0.14,0.93,5.7,113.9,114
James Harden,Hou,G,31.5,8,36.3,75.5,28.7,16.9,60,0.883,64,0.547,72,0.347,0.533,0.61,24.8,5.1,7.5,10.4,46.9,0.88,0.75,4.13,12.1,118.8,109.6
James Harden,Bro,G,31.5,18,38.4,80.1,25.9,18,123,0.878,150,0.587,134,0.41,0.6,0.664,24.9,8.3,12.1,11.4,43,1.22,0.72,4.11,13.9,127.7,109.5
Maurice Harkless,Mia,F-G,27.79,10,10.9,22.8,5.2,15.5,2,0,2,0,8,0.5,0.6,0.551,1.2,0.9,4.6,0.7,8.5,0.2,0.3,0.2,3.3,110.2,103.9
Jared Harper,Nyk,G,23.44,2,2.7,5.5,24,34.7,2,1,1,0,0,0,0,0.532,1,0,0,0,0,0,0,0.5,0,,
Montrezl Harrell,Lal,F-C,27.08,32,24.2,50.5,20.5,10.4,114,0.754,272,0.651,5,0,0.639,0.672,13.8,6.4,14.7,1.1,7.1,0.69,0.72,1.19,7.6,128.6,98.7
Gary Harris,Den,G,26.44,19,30.6,63.8,13.7,8.2,30,0.733,80,0.563,75,0.32,0.523,0.547,9.7,2.5,4.6,1.7,7.2,0.89,0.21,0.79,4.5,111.7,112.6
Jalen Harris,Tor,G,22.53,2,2.2,4.6,9.8,100,0,0,0,0,0,0,,,0,0.5,12.5,0,0,0,0,0.5,0,,
Joe Harris,Bro,G-F,29.47,32,31.1,64.8,16.3,7.2,27,0.704,121,0.579,214,0.5,0.688,0.692,15,3.5,6.3,1.8,8.2,0.56,0.22,0.84,5.9,129.2,112.1
Shaquille Harrison,Uta,G,27.38,17,3.3,6.8,21.3,18.1,6,0.833,18,0.333,2,0,0.3,0.375,1,0.5,8.6,0.5,21.6,0.12,0,0.29,7.6,,
Tobias Harris,Phi,F,28.61,28,34.6,72.2,23.1,10.7,94,0.894,314,0.554,119,0.403,0.568,0.607,20.6,7.8,12.3,3.4,15.6,0.79,0.82,2.04,9.5,118.1,106
Isaiah Hartenstein,Den,C-F,22.81,20,8.9,18.6,21.2,18.4,29,0.552,58,0.534,0,0,0.534,0.551,3.9,2.7,17.2,0.6,8.7,0.45,0.7,0.8,8.3,107.4,89.3
Josh Hart,Nor,G,25.97,30,28.4,59.1,12.8,9,54,0.722,85,0.6,123,0.358,0.563,0.589,9.1,7.6,15,2.1,9.7,0.77,0.27,0.77,7.4,122.4,108
Jaxson Hayes,Nor,C-F,20.75,23,12.1,25.3,13.2,18.5,28,0.679,58,0.655,0,0,0.655,0.675,4.1,3.5,16,0.4,4.4,0.35,0.35,0.7,5.9,121.2,100.5
Killian Hayes,Det,G,19.58,7,21.1,44,18.7,26.6,2,0.5,26,0.308,20,0.25,0.337,0.341,4.6,1.1,3,3.6,24.4,0.29,0,2.43,5,69.9,108.7
Gordon Hayward,Cha,F,30.92,28,35,72.9,24.7,9.9,120,0.867,314,0.519,144,0.424,0.556,0.6,21.9,5.4,8.2,3.7,17.1,1.25,0.43,2,8.7,116.7,111
Juancho Hernangomez,Min,F,25.41,14,18,37.5,15.2,6.6,15,0.667,31,0.516,47,0.34,0.513,0.532,6.4,4.7,14,0.5,4,0.36,0.14,0.43,5.5,108.1,111.5
Willy Hernangomez,Nor,C-F,26.75,15,17.9,37.3,16.4,6.8,27,0.593,79,0.532,5,0.2,0.518,0.537,6.9,7.3,22.8,1.2,9.4,0.47,0.4,0.47,8.8,123.9,109.3
Tyler Herro,Mia,G,21.09,22,33.3,69.4,24,14.1,53,0.755,186,0.527,131,0.344,0.522,0.545,16.9,6.1,10.2,3.8,19.1,0.45,0.45,2.55,8.8,99.9,108.3
Buddy Hield,Sac,G,28.18,30,34.4,71.6,20.8,11.1,53,0.868,116,0.405,310,0.361,0.505,0.53,15.9,4.6,7.3,3,12,0.87,0.33,1.87,7,102.6,114.1
George Hill,Okc,G,34.81,14,26.3,54.9,17,9,25,0.84,63,0.619,57,0.386,0.6,0.63,11.8,2.1,4.1,3.1,18.1,0.93,0.14,0.93,6.5,123.6,112.6
Solomon Hill,Atl,F,29.94,30,18.8,39.2,11.1,10.2,15,0.867,33,0.485,93,0.323,0.484,0.509,4.5,2.3,6.7,0.9,6.2,0.63,0.2,0.5,4.5,103.8,108.2
Nate Hinton,Dal,G-F,21.71,6,3.1,6.5,37.5,12.6,2,0.5,8,0.25,5,0.2,0.269,0.288,1.3,0,0,0,0,0.17,0.17,0.33,0,,
Aaron Holiday,Ind,G,24.4,29,19.9,41.4,19.3,9,29,0.759,127,0.394,93,0.333,0.439,0.462,7.4,1.3,3.7,1.8,12.5,0.48,0.14,0.79,5.2,94.7,108.9
Jrue Holiday,Mil,G,30.7,23,32.5,67.6,19.9,9.9,43,0.791,188,0.569,112,0.384,0.572,0.591,16.4,4.8,7.7,5.4,23,1.91,0.61,1.52,9.3,123.2,107.5
Justin Holiday,Ind,F-G,31.89,29,32.3,67.2,13.3,7.3,43,0.791,79,0.57,167,0.419,0.61,0.63,11.5,4.2,7.2,1.7,7,1.21,0.34,0.72,5.4,122.3,108.2
Richaun Holmes,Sac,F,27.36,26,29.3,60.9,15.8,13.8,60,0.783,212,0.66,5,0.2,0.652,0.678,12.7,7.8,14.5,1.8,8.9,0.65,1.58,1.5,7.7,127.2,105.9
Rodney Hood,Por,G-F,28.34,25,18.9,39.4,14.8,12.2,8,0.625,88,0.42,52,0.288,0.425,0.432,5,1.7,4.7,1.2,8.6,0.68,0.08,0.8,4.6,88.4,113.3
Al Horford,Okc,C-F,34.73,21,28.3,58.9,22.5,8.2,18,0.778,155,0.503,118,0.381,0.533,0.543,14.5,6.8,12.6,3.5,20.7,0.95,0.76,1.19,9.9,108.2,105.5
Talen Horton-Tucker,Lal,G,20.25,28,17,35.3,19.7,16.3,32,0.813,117,0.521,49,0.286,0.494,0.528,6.8,2.3,7.5,1.9,15.5,0.79,0.57,1.25,7.3,99.5,96.1
Danuel House Jr.,Hou,F-G,27.72,18,27.8,57.8,15.1,8.5,32,0.75,59,0.492,89,0.315,0.48,0.512,9.2,3.8,7.2,2.1,10.8,0.78,0.5,0.83,6,105.6,108
Dwight Howard,Phi,C-F,35.21,31,16.3,34,17.7,25.5,90,0.522,110,0.573,8,0.375,0.572,0.577,5.9,7.7,25.8,0.6,5.4,0.39,0.84,1.74,7.4,103.7,90.2
Markus Howard,Den,G,21.98,16,3.2,6.7,28.8,11.8,0,0,9,0.333,21,0.143,0.25,0.25,0.9,0.3,5.6,0.4,15.2,0.13,0,0.25,6,,
Kevin Huerter,Atl,G-F,22.49,30,31.7,66,16.3,10.5,24,0.792,145,0.483,170,0.376,0.527,0.539,11.7,3.6,6.2,3.7,17.3,1.13,0.2,1.27,6.8,111,109.1
Elijah Hughes,Uta,G,22.96,6,4.5,9.4,33,24.1,4,0.75,4,0.5,10,0.3,0.464,0.508,2.7,0.7,7.9,0.5,16.6,0.17,0.17,0.83,8.7,84.9,110.3
De'Andre Hunter,Atl,F-G,23.23,18,32.2,67,19.8,9.3,73,0.877,129,0.605,83,0.361,0.58,0.635,17.2,5.4,9.1,2.2,10.9,0.94,0.5,1.39,7.3,123.2,107.6
Chandler Hutchison,Chi,F-G,24.83,7,9.1,18.9,16,20.9,2,1,15,0.267,3,0.333,0.306,0.344,1.9,2.9,17.4,0.6,7.8,0.29,0,0.71,6.5,67.1,96.8
Serge Ibaka,Lac,F,31.43,31,24,50,20.5,11.3,44,0.818,203,0.571,84,0.357,0.561,0.584,11.5,6.8,15.8,1.8,11.2,0.23,1.19,1.26,8.7,116.6,106.3
Andre Iguodala,Mia,G-F,37.07,29,21.5,44.8,11.4,20,11,0.455,29,0.552,94,0.319,0.496,0.497,4.4,3.6,9.4,2.3,14.9,1.07,0.48,1.1,6.2,97.2,104.3
Joe Ingles,Uta,F-G,33.4,27,26.7,55.6,16.1,15.6,36,0.889,65,0.646,147,0.463,0.679,0.702,11.9,3.4,6.8,4.7,24.9,0.37,0.22,1.56,8.6,134.7,106
Brandon Ingram,Nor,F,23.48,30,35,72.9,27.5,10.7,161,0.882,340,0.512,193,0.394,0.54,0.595,23.9,5.3,8.4,4.7,21.1,0.67,0.87,2.4,9.6,118.3,113.9
Kyrie Irving,Bro,G,28.92,22,35.5,73.9,29.8,9.9,91,0.901,288,0.587,154,0.409,0.596,0.632,27.7,4.7,7.4,5.7,26.8,1.05,0.68,2.41,10.2,122.8,110.1
Wes Iwundu,Dal,F,26.18,17,13.7,28.5,10.3,7.4,10,0.8,23,0.435,23,0.13,0.315,0.367,2.2,1.9,7.8,0.5,4.4,0.41,0.12,0.24,3.7,84,109
Frank Jackson,Det,G,22.81,7,5.5,11.5,22.5,20,0,0,6,0.167,10,0.3,0.344,0.344,1.6,0.7,7.2,1.1,30.7,0.14,0,0.57,7.8,75.6,105.4
Josh Jackson,Det,G-F,24.04,28,24.4,50.8,26.2,15.7,96,0.688,181,0.508,126,0.302,0.485,0.521,13,4.3,9.8,1.9,13.4,0.86,0.86,2.32,7.8,95.5,102.9
Justin Jackson,Okc,F,25.91,20,17.3,36,19.4,12.4,20,0.8,63,0.556,63,0.333,0.528,0.553,7.5,2.3,7,1.7,14.7,0.4,0.05,0.95,7.1,104.6,108
Reggie Jackson,Lac,G,30.86,29,20,41.7,18.8,11.3,39,0.744,109,0.495,93,0.355,0.512,0.538,8.1,2.6,7.1,3.1,21.5,0.62,0.1,0.97,8.1,113.2,105.8
Justin James,Sac,G-F,24.08,11,5.7,11.8,16.7,0,8,0.25,13,0.538,8,0.25,0.476,0.449,2,0.6,6.1,0.5,10.9,0.18,0.09,0,5.9,104,119.8
LeBron James,Lal,F,36.15,32,35,72.9,31.9,15.1,186,0.704,400,0.58,217,0.355,0.563,0.591,25.8,8.2,13.1,8.1,39.3,1,0.5,3.88,13.7,112.7,102.3
DaQuan Jeffries,Sac,G-F,23.49,6,19.3,40.1,15.1,7.3,7,0.857,17,0.529,18,0.389,0.557,0.591,7.5,2.3,6.6,0.7,4.7,0.83,0.5,0.5,4.8,118.1,114.2
Isaiah Joe,Phi,G,21.65,18,12.9,26.8,15,6.1,5,1,16,0.375,59,0.373,0.52,0.538,4.6,1.2,5.2,0.8,8.8,0.39,0.22,0.28,5.1,113,105.7
Cameron Johnson,Pho,F,24.98,30,24.6,51.2,17.8,7.5,34,0.853,81,0.58,174,0.374,0.567,0.589,10.6,3.6,8.1,1.4,7.8,0.67,0.33,0.73,6.1,114.6,108.3
James Johnson,Dal,F,34.01,23,18.4,38.4,16.4,15.8,24,0.542,73,0.63,50,0.28,0.545,0.55,6.4,3.1,9.3,1.6,12.5,0.87,0.83,1.09,6.9,102.9,104.1
Keldon Johnson,San,F-G,21.37,27,30.1,62.7,20.6,10.2,99,0.778,228,0.518,80,0.325,0.51,0.556,14.5,7,12,2.3,10.9,0.78,0.52,1.48,8.2,110.7,105
Stanley Johnson,Tor,F-G,24.74,28,13.6,28.4,10,22.4,14,0.786,24,0.417,39,0.41,0.54,0.571,2.8,2.3,9.3,1.3,12.7,0.79,0.29,0.71,6,108.9,101.3
Tyler Johnson,Bro,G,28.8,14,12,24.9,14.8,7,2,1,16,0.375,36,0.444,0.577,0.586,4.4,1.2,5.7,0.9,9.3,0.29,0,0.29,5.6,116.3,113.3
Nikola Jokic,Den,C,26.01,30,35.9,74.7,28.9,14.4,164,0.872,425,0.607,114,0.404,0.607,0.652,26.6,11.2,17.8,8.5,39.7,1.67,0.67,3.43,15.2,128.9,103.9
Derrick Jones Jr.,Por,F,24.02,26,27,56.3,12,9.1,53,0.585,89,0.64,67,0.284,0.548,0.563,7.8,4.9,9.6,0.8,4,0.81,1,0.69,4.6,118.3,110.9
Damian Jones,Pho,C,25.65,14,6.7,13.9,12.9,22.4,11,0.545,15,0.533,1,0,0.5,0.528,1.6,1.3,10.7,0.3,5.5,0.07,0.36,0.43,5.1,100.1,92.3
Mason Jones,Hou,G,22.6,19,11,23,22.5,19.8,32,0.563,34,0.5,41,0.415,0.567,0.578,5.4,2,9.6,1.3,17.5,0.32,0,1.16,8.8,99.6,103.2
Tre Jones,San,G,21.13,9,3,6.2,26.1,12.3,5,1,11,0.455,1,1,0.542,0.634,2,0.4,7.8,0.1,5.9,0,0,0.22,5.7,,
Tyus Jones,Mem,G,24.79,27,22.9,47.6,17,10.1,19,0.842,141,0.511,73,0.247,0.463,0.481,7.9,2.6,6.1,5,30.3,1.3,0.15,0.93,8.2,111.6,114
DeAndre Jordan,Bro,C,32.59,30,22,45.9,12.7,25.4,48,0.521,123,0.797,0,0,0.797,0.767,7.4,7.2,18.3,1.8,11.1,0.33,1.4,1.63,8.3,126.5,105.3
Cory Joseph,Sac,G,29.51,30,20.3,42.4,14.6,14.3,33,0.758,106,0.528,59,0.339,0.521,0.549,6.6,2.3,6.1,2.4,15.4,0.77,0.2,1,6.5,109.7,110.9
Mfiondu Kabengele,Lac,F-C,23.53,17,4.1,8.5,18.9,16.8,4,0.75,11,0.364,12,0.167,0.304,0.343,1,0.6,8.9,0.2,5.5,0.12,0.12,0.29,4.8,67.6,92.6
Frank Kaminsky,Pho,F-C,27.89,23,15.7,32.8,19.3,7.1,25,0.56,81,0.469,53,0.434,0.541,0.548,6.9,4,14.3,1.8,16.6,0.26,0.43,0.48,9.4,116.6,101.8
Enes Kanter,Por,C,28.76,30,25.5,53,17.8,10.7,70,0.743,253,0.581,0,0,0.581,0.61,11.5,11.2,23.4,1.1,6.4,0.57,0.73,1.13,8.2,127.7,105.6
Luke Kennard,Lac,G,24.67,29,22,45.9,15.3,12.2,15,0.867,84,0.488,104,0.442,0.585,0.599,8,2.9,7.3,1.8,11.1,0.34,0.21,0.93,6.3,114,108.4
Maxi Kleber,Dal,F,29.07,18,25.7,53.4,10.1,9.5,20,0.95,23,0.348,64,0.453,0.592,0.637,6.8,5.3,11.4,1.4,7.4,0.28,0.78,0.56,5.8,128.4,108.6
Nathan Knight,Atl,F-C,23.43,9,6,12.4,23.4,13.6,8,0.875,13,0.462,9,0.333,0.477,0.549,3.1,1.6,14.1,0.1,2.9,0.22,0.33,0.44,5.3,109.1,102.6
Kevin Knox II,Nyk,F,21.54,23,16.2,33.8,15.9,11.9,12,0.833,47,0.404,66,0.379,0.5,0.52,5.3,2.1,6.7,0.7,6.7,0.35,0.26,0.7,4.9,100.1,103.7
John Konchar,Mem,G,24.92,17,17.2,35.8,11.3,10.3,18,0.889,39,0.513,23,0.304,0.492,0.551,4.5,3.8,11.9,1.2,8.8,1.06,0.29,0.47,6.4,118.2,104.3
Furkan Korkmaz,Phi,G-F,23.59,20,18.3,38,18.6,11.8,16,0.875,57,0.456,78,0.308,0.459,0.486,6.9,2.3,6.9,0.7,5.3,0.7,0.1,0.95,4.9,92.4,107.4
Luke Kornet,Chi,F-C,25.61,7,6.9,14.4,15.8,5.6,2,1,3,0.667,13,0.077,0.219,0.267,1.3,1.4,11.4,0.3,5,0.29,0.14,0.14,4.7,61.3,111.7
Rodions Kurucs,Bro,F,23.05,5,3.2,6.6,8.2,0,0,0,1,0,2,0.5,0.5,0.5,0.6,0.6,10.7,0.4,15.1,0,0,0,6.6,,
Rodions Kurucs,Hou,F,23.05,10,6.7,13.9,17.8,28.7,2,0.5,5,0.6,14,0.143,0.316,0.327,1.3,1,7.9,0.2,4.1,0.5,0.3,0.8,3.8,54.5,100.4
Kyle Kuzma,Lal,F,25.59,32,25.9,54,20.1,11.5,31,0.613,166,0.524,160,0.363,0.534,0.54,11.5,6.3,13.6,1.1,6.1,0.31,0.69,1.38,6.6,104.5,102.8
Jeremy Lamb,Ind,G-F,28.74,16,25.1,52.3,17.4,8.7,39,0.923,68,0.515,62,0.5,0.627,0.676,12.4,4.3,9.5,1.6,9.1,0.88,0.56,0.88,7,129.4,106.4
Zach LaVine,Chi,G-F,25.96,30,35.6,74.1,31,14.6,162,0.864,347,0.576,244,0.434,0.607,0.648,28.6,5.4,8.4,5.1,24.2,1.17,0.43,3.77,10.4,116.7,108.1
Jake Layman,Min,F,26.97,21,14.9,31,16.4,11.6,23,0.783,58,0.603,39,0.333,0.562,0.593,6,1.5,5.5,0.5,5.2,0.86,0.48,0.67,4.4,107.6,109.2
Jalen Lecque,Ind,G,20.7,3,2.9,6.1,26.2,0,3,1,3,0.333,1,0,0.25,0.47,1.7,1.3,25,0.7,29.9,0,0,0,16,,
Damion Lee,Gol,G-F,28.34,31,19.5,40.6,12.3,7.4,23,0.913,33,0.697,119,0.387,0.605,0.632,6.6,3.4,9.2,1.5,10.2,0.65,0.1,0.42,6.6,124.2,104.4
Saben Lee,Det,G,21.67,9,11.3,23.6,14.6,17.4,17,0.706,19,0.474,2,0,0.429,0.527,3.3,0.8,3.8,1.4,18.4,0.78,0.11,0.67,5.5,105.1,102.1
Alex Len,Tor,C,27.69,7,10.8,22.6,11.7,38.8,6,0.5,4,0.5,6,0.5,0.65,0.633,2.3,1.6,8,0.4,5.2,0.14,0.86,1.14,4.2,76.6,101.8
Alex Len,Was,C,27.69,15,15.1,31.4,17.2,18,28,0.607,52,0.75,13,0.231,0.669,0.673,6.9,3.9,13.6,1.2,11.9,0.47,1.2,1.13,8.4,117.4,102.6
Kawhi Leonard,Lac,F,29.66,25,34.8,72.4,30.2,7.7,156,0.885,354,0.548,126,0.389,0.557,0.613,26.9,6.1,9.9,4.9,23.8,1.68,0.6,1.84,10.7,124.6,108.3
Meyers Leonard,Mia,F-C,28.99,3,9.8,20.4,14.9,20.2,2,0.5,0,0,7,0.429,0.643,0.635,3.3,2.3,13.3,0.7,9.8,0,0,0.67,7.1,100.8,93.4
Caris LeVert,Bro,G,26.5,12,27.8,57.9,31.4,10.8,34,0.765,137,0.474,63,0.349,0.49,0.516,18.5,4.3,8.7,6,33.8,1.08,0.5,2.17,11.2,107.6,111.4
Kira Lewis Jr.,Nor,G,19.89,19,13.1,27.3,19.2,7.2,20,0.65,62,0.387,33,0.333,0.426,0.453,4.9,0.8,3.6,1.9,20.3,0.58,0.05,0.42,6,104.3,111.5
Damian Lillard,Por,G,30.61,29,35.8,74.5,32.6,11.9,223,0.933,283,0.523,316,0.38,0.548,0.62,29.8,4.3,6.4,7.9,37.4,1.03,0.24,3.24,11.2,124.8,116.7
Nassir Little,Por,F-G,21.03,15,10.8,22.5,17.2,13.7,17,0.882,24,0.542,25,0.56,0.694,0.735,5.5,2.1,10.1,0.2,2.7,0.2,0.33,0.6,4.9,131.8,112.7
Kevon Looney,Gol,F,25.05,21,14.6,30.5,9.9,18.1,13,0.692,48,0.646,5,0.4,0.642,0.656,3.7,4.1,14.8,1.8,16,0.33,0.29,0.62,8.3,135.2,100.2
Brook Lopez,Mil,C,32.9,31,26.9,55.9,15.3,8.5,51,0.824,121,0.579,135,0.356,0.555,0.585,10.5,5.1,10,0.6,2.9,0.52,1.35,0.84,4.7,116.2,107.1
Robin Lopez,Was,C,32.9,28,20.1,41.9,15.7,14,70,0.686,141,0.603,12,0.333,0.595,0.626,8.2,4.4,11.3,1,6.9,0.32,0.61,1.07,6.6,121.2,109.4
Kevin Love,Cle,F-C,32.46,2,23.2,48.3,21.5,12.9,5,0.8,9,0.333,9,0.333,0.417,0.47,9.5,6,14.4,2.5,15.8,0.5,0,1.5,9,97.9,114.8
Kyle Lowry,Tor,G,34.92,25,34.4,71.6,22.1,16.4,87,0.874,152,0.526,178,0.388,0.556,0.601,17.7,5.4,8.7,6.4,28.6,1.16,0.16,2.88,9.9,115.5,105.5
Timothe Luwawu-Cabarrot,Bro,G-F,25.8,32,19.4,40.5,16.4,9.8,24,0.75,71,0.465,131,0.382,0.535,0.55,7.3,2.4,6.9,1.3,8.8,0.66,0.16,0.72,5.8,108.7,109.3
Trey Lyles,San,F,25.3,14,11.8,24.6,11.1,0,15,0.6,21,0.667,15,0.267,0.556,0.575,3.5,3.1,13.5,0.5,5.6,0,0,0,6,127.9,110.5
Thon Maker,Cle,F-C,20,8,9.6,19.9,14.5,11.6,11,0.909,16,0.625,2,0,0.556,0.657,3.8,2.3,13.1,0.5,7.7,0.25,0.5,0.38,6.8,131.6,108.9
Theo Maledon,Okc,G,19.7,26,24.4,50.9,16.5,20.4,25,0.72,76,0.447,104,0.385,0.522,0.539,7.9,2.8,5.9,2.9,17,0.92,0.08,1.88,6.6,95.7,104.4
Karim Mane,Orl,G,20.77,6,9.3,19.4,10.5,21.8,4,1,7,0,2,0.5,0.167,0.325,1.2,1.7,9.2,0.2,2.3,0,0.17,0.5,3.2,59.4,110
Nico Mannion,Gol,G,19.95,6,6,12.5,19.7,11.9,4,0.25,4,0.25,9,0.222,0.308,0.305,1.5,1.3,11.6,2,42.9,0.33,0,0.33,10.5,87.9,95
Terance Mann,Lac,G-F,24.35,29,15.1,31.5,13.4,15,32,0.75,72,0.528,27,0.296,0.505,0.548,4.3,3.2,12,1.1,9.8,0.45,0.17,0.69,6.6,113.1,103.3
Boban Marjanovic,Dal,C,32.52,15,7.2,15,25.5,4.8,13,0.692,51,0.549,3,0,0.519,0.544,4.3,3.3,25.3,0.1,1.6,0,0,0.2,6.2,118,103.8
